indicator,date,rate
close,2021-11-17 15:21:00,35.07
open,2021-11-17 15:20:00,35.06
high,2021-11-17 15:20:00,35.06
low,2021-11-17 15:20:00,35.04
close,2021-11-17 15:20:00,35.05
open,2021-11-17 15:19:00,35.06
high,2021-11-17 15:19:00,35.065
low,2021-11-17 15:19:00,35.06
close,2021-11-17 15:19:00,35.06
open,2021-11-17 15:18:00,35.03
high,2021-11-17 15:18:00,35.07
low,2021-11-17 15:18:00,35.03
close,2021-11-17 15:18:00,35.07
open,2021-11-17 15:17:00,35.03
high,2021-11-17 15:17:00,35.05
low,2021-11-17 15:17:00,35.03
close,2021-11-17 15:17:00,35.04
open,2021-11-17 15:16:00,34.99
high,2021-11-17 15:16:00,35.01
low,2021-11-17 15:16:00,34.99
close,2021-11-17 15:16:00,35.01
open,2021-11-17 15:15:00,34.98
high,2021-11-17 15:15:00,35.0
low,2021-11-17 15:15:00,34.98
close,2021-11-17 15:15:00,34.98
open,2021-11-17 15:14:00,34.98
high,2021-11-17 15:14:00,34.98
low,2021-11-17 15:14:00,34.98
close,2021-11-17 15:14:00,34.98
open,2021-11-17 15:13:00,34.97
high,2021-11-17 15:13:00,34.97
low,2021-11-17 15:13:00,34.97
close,2021-11-17 15:13:00,34.97
open,2021-11-17 15:12:00,34.99
high,2021-11-17 15:12:00,34.99
low,2021-11-17 15:12:00,34.98
close,2021-11-17 15:12:00,34.99
open,2021-11-17 15:11:00,34.98
high,2021-11-17 15:11:00,34.98
low,2021-11-17 15:11:00,34.9602
close,2021-11-17 15:11:00,34.9602
open,2021-11-17 15:10:00,34.99
high,2021-11-17 15:10:00,34.99
low,2021-11-17 15:10:00,34.99
close,2021-11-17 15:10:00,34.99
open,2021-11-17 15:09:00,34.98
high,2021-11-17 15:09:00,35.0
low,2021-11-17 15:09:00,34.98
close,2021-11-17 15:09:00,34.99
open,2021-11-17 15:08:00,34.98
high,2021-11-17 15:08:00,34.98
low,2021-11-17 15:08:00,34.96
close,2021-11-17 15:08:00,34.97
open,2021-11-17 15:07:00,34.99
high,2021-11-17 15:07:00,35.0
low,2021-11-17 15:07:00,34.96
close,2021-11-17 15:07:00,34.96
open,2021-11-17 15:06:00,35.0
high,2021-11-17 15:06:00,35.0
low,2021-11-17 15:06:00,34.99
close,2021-11-17 15:06:00,34.99
open,2021-11-17 15:05:00,35.0
high,2021-11-17 15:05:00,35.01
low,2021-11-17 15:05:00,35.0
close,2021-11-17 15:05:00,35.01
open,2021-11-17 15:04:00,35.02
high,2021-11-17 15:04:00,35.02
low,2021-11-17 15:04:00,35.02
close,2021-11-17 15:04:00,35.02
open,2021-11-17 15:03:00,35.03
